title,rating
Обзор Hi-Fi Rush. Фантастический музыкальный сюрприз,10
Обзор Tortuga: A Pirate’s Tale. Старые злые пираты,6.5
Обзор World of Warcraft: Dragonflight. Драконы со знаком качества,8.0
Обзор The Callisto Protocol. Совсем не мёртвый космос,5.5
Обзор Evil West. Электричество против вампиров,6.0
Обзор God of War: Ragnarok. Только Бог простит,8.0
Обзор Victoria 3. Прекрасная экономическая стратегия для любителей истории,9.0
Обзор A Plague Tale: Requiem. Красиво-устрашающая сказка о важном,8.0
Обзор Metal: Hellsinger. Рок-концерт в аду,8.0
Обзор Immortality. Жизнь и бессмертие кино,8.0
Обзор Stray. Кошачий киберпанк для каждого,10
Обзор Vampire: The Masquerade — Swansong. Отцы и дети и вампиры,9.0
Обзор Syberia: The World Before — Конец всегда наступает,8.0
Обзор Destiny 2: The Witch Queen — Семь лет хайпа,10
"Обзор Beholder 3 — Вторично, пусто, сломано",2.0
Обзор Gran Turismo 7 — От фанатов авто для фанатов авто,8.0
Обзор ELEX II — Дар и проклятие «Готики»,8.0
"Обзор Shadow Warrior 3 — Мелкий, злой и похабный",6.0
"Обзор Elden Ring. Один soulslike, чтоб править всеми",8.0
Обзор «Помни…» — Забыть такое трудно,8.0
Обзор Total War: Warhammer III — Все демоны здесь,10
Обзор Horizon: Forbidden West — На птеранодоне в Лас-Вегас,8.0
Обзор Dying Light 2: Stay Human — Восставший из производственного ада,8.0
Обзор Expeditions: Rome — Первый среди равных,8.0
Обзор Rainbow Six: Extraction — Преждевременная эвакуация,6.0
Обзор Chorus — Депрессивный Страж Галактики,8.0
"Обзор Final Fantasy XIV: Endwalker — Всё хорошо, что хорошо кончается",9.5
Обзор Halo Infinite — Голос из прошлого,8.0
"Обзор Battlefield 2042 — Никогда такого не было, и вот опять",6.0
Обзор Mario Party Superstars — Как в старые добрые,8.0
"Обзор Jurassic World Evolution 2: Парк, в котором точно кто-то вымрет",8.0
Обзор Football Manager 2022: Ваши ожидания — ваши проблемы,6.0
"Обзор Call of Duty: Vanguard — Новая команда, знакомые хиты",8.0
Обзор Forza Horizon 5 — Не всё так радужно в Мексике,8.0
Обзор The Good Life. Жизнь моя жестянка,4.0
Обзор Age of Empires 4 — Ностальгическая жвачка с новым вкусом,8.0
Обзор «Стражей Галактики Marvel» — Маленький шедевр про силу дружбы,10
Обзор The Dark Pictures: House of Ashes — А где хоррор?,4.0
Обзор Metroid Dread – Не такой сиквел мы ждали 20 лет,6.0
Обзор Impostor Factory — Фабрика трагедий от авторов To the Moon,8.0
Обзор Back 4 Blood — Еле живая мертвечина,4.0
"Обзор Far Cry 6 — Тупо, но весело",6.0
"Обзор Kena: Bridge of Spirits — обманчиво простая, чарующе красивая",8.0
"Обзор Diablo II: Resurrected — Сатана, возьми мои вены!",10
Обзор WarioWare: Get it Together — Концентрированное веселье,8.0
Обзор Sonic Colors Ultimate: Коллекция плохих решений,4.0
Обзор Deathloop: Рванём петлю!,10
Обзор Lost Judgment: Правосудие с кулаками,8.0
Обзор Lost in Random: Тим Бёртон может быть доволен,8.0
Обзор Encased: A Sci-Fi Post-Apocalyptic RPG — Трудно быть «Фоллаутом»,6.0
Обзор Pathfinder: Wrath of the Righteous — Крестовый поход против багов,8.0
Обзор Life is Strange: True Colors: Серый калейдоскоп,6.0
Обзор Aliens: Fireteam Elite. Игра для своих,6.0
Обзор Twelve Minutes. Двенадцать минут позора,4.0
Обзор King’s Bounty II. Старая сказка на новый лад,8.0
Обзор Psychonauts 2. Максимальная аутентичность,8.0
Обзор The Ascent. Что же в тебе такого?,6.0
Обзор Black Book. Василиса маленькая ведьма,8.0
Обзор Cris Tales. Между прошлым и будущим,6.0
Обзор Chernobylite. Неждалкер,6.0
Обзор игры F1 2021. Дарвин бы гордился,6.0
Обзор игры Song of Farca. Детектив на удалёнке,6.0
Обзор Neo: The World Ends with You. Сиквел ради сиквела,6.0
Обзор Monster Hunter Stories 2: Wings of Ruin. Ведьмак ловит яйца,6.0
Обзор Wonhon: A Vengeful Spirit. Душный дух,4.0
Обзор Death's Door. Три великана и две вороны,6.0
Обзор Boomerang X. Ода движению,6.0
"Обзор Guilty Gear Strive. Файтинг, жгущий напалмом",8.0
Обзор Chivalry II. Война без конечностей,8.0
Обзор Wildermyth. Генератор случайной квенты,8.0
"Обзор Scarlet Nexus. Экшен, ради которого можно стать анимешником",8.0
"Обзор Griftlands. Карточный roguelike, близкий к идеалу",10
Обзор Backbone. Пригретая на груди химера,6.0
Обзор «Ratchet & Clank: Сквозь миры». Старый друг лучше новых двух,8.0
Обзор Necromunda: Hired Gun. Кошмар перфекциониста,6.0
Обзор Biomutant. Рудиментарная мутация,6.0
"Обзор Hood: Outlaws & Legends. Воруй, убивай, гусей не трожь",4.0
Обзор NieR Replicant ver. 1.22474487139. Ненавижу и люблю,6.0
Обзор Resident Evil Village. Кирпичей не завезли,6.0
Обзор Ashwalkers. Пепел без искры,6.0
Обзор Returnal. Невыносимая цикличность бытия,8.0
Обзор Mr. Prepper. Ракета из консервных банок,4.0
Обзор Monster Hunter Rise. Самая дикая охота,10
Обзор Oddworld: Soulstorm. Мы не рабы!,8.0
Обзор Outriders. Планета несбывшихся надежд,6.0
Обзор Genesis Noir. Если бы научные формулы были музыкой,8.0
Обзор Evil Genius 2: World Domination. Не зря ждали 16 лет,8.0
"Обзор It Takes Two. Игра на двоих, которую вы обязательно пройдёте",8.0
Обзор Lust from Beyond. Такой секс нам не нужен,2.0
"Обзор The Life and Suffering of Sir Brante. Но в основном, конечно, страдания",8.0
Обзор Loop Hero. Отечественный «рогалик» от издателей Hotline Miami,8.0
"Обзор Olija. Очаровательная история, которую легко пропустить",6.0
Обзор Werewolf: The Apocalypse – Earthblood. Маскарад курильщика,4.0
Обзор Persona 5 Strikers. Дорогой фанфик,6.0
Обзор Little Nightmares 2. Детям здесь не место,8.0
Обзор Destruction AllStars. Даром не надо,4.0
Обзор Noita. Абсолютная физика,8.0
Обзор The Medium. «У нас есть Сайлент-Хилл дома»,8.0
"Обзор DOM RUSALOK. Кинг, Лавкрафт, Россия девяностых",8.0
Обзор Scott Pilgrim vs. the World: The Game — Complete Edition. Иногда они возвращаются,8.0
Обзор Hitman 3. Отшлифованный до бликов,8.0
Обзор Deep Rock Galactic. Скала и камень!,8.0
Обзор Twin Mirror. Случайная серия незнакомого сериала,4.0
Обзор World of Warcraft: Shadowlands. Прервалась связь времён,8.0
Обзор Chronos: Before the Ashes. Ребёнок на ринге MMA,6.0
Обзор Immortals Fenyx Rising. Бессмысленный эксперимент Ubisoft,6.0
Обзор Cyberpunk 2077. У CD Projekt Red получилось,10
Обзор Empire of Sin. Ромеро промахнулся,4.0
